firstName,lastName,homeAddress,workAddress,arrivalTime,,,,,,,
Prince,Lee,"31 W Coast Park, Singapore 127649","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Eric,Dugan,"41 Faber Walk, Singapore 128971","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Edward,Roberts,"43 Faber Walk, Singapore 128972","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Donna,Harden,"74 Faber Heights, Singapore 129194","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Anne,Garcia,"50C Faber Heights, Singapore 129197","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Willie,Herrera,"105 Jurong East Street 13, Block 105, Singapore 600105","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Joshua,Mccalley,"208 Jurong East Street 21, Singapore 600208","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Lettie,Mackey,"211 Jurong East Street 21, Block 211, Singapore 600211","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Heather,Kauffman,"212 Jurong East Street 21, Block 212, Singapore 600212","8 Shenton Way, AXA Tower",9am,,,,,,,
Nancy,Deen,"212 Jurong East Street 21, Singapore 600212","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Mark,Conway,"225 Jurong East Street 21, Singapore 600225","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Misty,Shaikh,"236 Jurong East Street 21, Block 236, Singapore 600236","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Cynthia,Madison,"241 Jurong East Street 24, Block 241, Singapore 600241","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Rose,Magana,"243 Jurong East Street 24, Block 243, Singapore 600243","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Rebecca,Kimbrell,"252 Jurong East Street 24, Singapore 600252","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Gary,Horton,"255 Jurong East Street 24, Singapore 600255","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Joan,Tang,"259 Jurong East Street 24, Singapore 600259","8 Shenton Way, AXA Tower",8am,,,,,,,
Kathy,Jones,"263 Jurong East Street 24, Singapore 600263","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Alisha,Valerius,"269 Toh Guan Rd, Singapore 600269","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Theo,Elwell,"270 Toh Guan Rd, Singapore 600270","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Mary,Jolley,"273 Toh Guan Rd, Block 273, Singapore 600273","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Nina,Perry,"310 Jurong East Street 32, Singapore 600310","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Marlo,Noble,"311 Jurong East Street 32, Singapore 600311","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Justin,Gonzalez,"317 Jurong East Street 31, Singapore 600317","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
James,Williams,"326 Jurong East Street 31, Block 326, Singapore 600326","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Margret,Caballero,"328 Jurong East Street 31, Block 328, Singapore 600328","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Ruby,Heifner,"403 Pandan Gardens, Singapore 600403","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Julia,Filson,"405 Pandan Gardens, Singapore 600405","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Piper,Bostic,"412 Pandan Gardens, Singapore 600412","8 Shenton Way, AXA Tower",9am,,,,,,,
William,Johnson,"215A Jurong East Street 21, Singapore 601215","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Jose,Baez,"215A Jurong East Street 21, Singapore 601215","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Nestor,Martin,"215A Jurong East Street 21, Singapore 601215","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Stacy,London,"215A Jurong East Street 21, Singapore 601215","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Chris,Para,"215A Jurong East Street 21, Singapore 601215","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Leslie,Cohen,"215A Jurong East Street 21, Singapore 601215","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Sonya,Fox,"215A Jurong East Street 21, Singapore 601215","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Edna,Trainor,"215A Jurong East Street 21, Singapore 601215","8 Shenton Way, AXA Tower",8am,,,,,,,
Christopher,Capps,"215A Jurong East Street 21, Singapore 601215","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Charles,Torres,"215A Jurong East Street 21, Singapore 601215","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Robyn,Hanshaw,"215A Jurong East Street 21, Singapore 601215","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Diana,Cool,"215A Jurong East Street 21, Singapore 601215","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Tyler,Davis,"215A Jurong East Street 21, Singapore 601215","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Jason,Elmore,"215A Jurong East Street 21, Singapore 601215","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Lottie,Swedenburg,"215A Jurong East Street 21, Singapore 601215","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Royce,Stayton,"215A Jurong East Street 21, Singapore 601215","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Robert,Thomas,"215A Jurong East Street 21, Singapore 601215","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Tony,Suarez,"215A Jurong East Street 21, Singapore 601215","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Laura,Wade,"215A Jurong East Street 21, Singapore 601215","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Jasmine,Elia,"215A Jurong East Street 21, Singapore 601215","8 Shenton Way, AXA Tower",9am,,,,,,,
John,Joseph,"215A Jurong East Street 21, Singapore 601215","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Daryl,Madrigal,"215A Jurong East Street 21, Singapore 601215","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Andrew,Torres,"215A Jurong East Street 21, Singapore 601215","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Henry,Craig,"215A Jurong East Street 21, Singapore 601215","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Ethel,Dakins,"215A Jurong East Street 21, Singapore 601215","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Ernest,Davidson,"25 International Business Park, Singapore 609916","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Douglas,Boggs,"1 International Business Park, The Synergy, Singapore 609917","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
John,Strickland,"12 International Business Park, Singapore 609920","8 Shenton Way, AXA Tower",8am,,,,,,,
